id,name,url,phone,email,description,logo_url,vendor_page_url,geographic_coverage,founded,company_size,company_type,industry_focus,specializations,social_links,contractor_rating,client_reviews,equipment_requirements,training_provided,payment_frequency,assignment_process,job_volume,onboarding_process,required_technology,equipment_provision,bbb_status,industry_recognition,recruiter_contact,qualifications,pay_range,compensation_structure,created_at,updated_at,categories,pay_max,pay_min,pay_type,rating,services,source,is_published,slug,starter_featured,starter_rank,brand_primary,brand_secondary,latitude,longitude,address,vendor_verified,address_source,address_confidence
0054801b-88d1-49ef-9d7e-546e3c456db0,Nationwide Virtual Site Inspections,https://secure.virtualsiteinspections.com,(888) 492-1122,vendors@virtualsiteinspections.com,"Technology-enabled inspection platform providing remote and virtual site inspections used by insurance carriers, lenders, and property services firms.",https://secure.virtualsiteinspections.com/images/vsilogo.png,https://secure.virtualsiteinspections.com,Nationwide,2005,Small,Private,"Inspection Technology, Insurance Services","Virtual Site Inspections, Remote Property Verification","[""https://www.linkedin.com/company/vsiteinspection/""""https://x.com/VSiteInspection""""https://www.facebook.com/VSiteInspection/""""https://www.instagram.com/VSiteInspection/""]",3.8,,"Smartphone, internet connection",Yes (platform guidance),Typically Net 30 to Net 45 days,Inspection requests routed through secure platform,Moderate,Platform account registration and access approval,Virtual Site Inspections platform,Contractor supplied,Not Rated by BBB,Virtual inspection technology provider,https://secure.virtualsiteinspections.com/Authentication/SelectSignUpUser,Ability to perform guided remote inspections,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Virtual Inspections, Remote Property Assessments, Insurance Technology""]",450,275,/inspection,3.8,Field ServicesInspectionsInsurance Inspection,,true,nationwide-virtual-site-inspections,,,,,33.248742,-111.865003,"3910 S. Alma School Rd, Suite 8, Chandler, AZ 85248",true,Maricopa,
0295c54c-3c49-4302-a73c-6808774f97f2,WAVSYS,https://www.wavsys.com/,,,"WAVSYS is a professional services and contingent workforce provider focused on technology and network operations, including field deployment and engineering services. Roles often include field-oriented contractor opportunities.",,https://www.wavsys.com/careers,Nationwide,,500–1000,Private,Technology & Workforce Services,"Network Deployment, Field Technicians, Contingent Workforce","{""linkedin"": ""https://www.linkedin.com/company/wavsys""}",,,Role dependent,Yes,,Recruiter-led placement into client projects,Moderate,Careers application and screening,Internal and client IT systems,Company or client provided,,,,,,,2025-12-11 20:47:00.522071+00,2026-01-11 19:32:18.775889+00,"[""Technology Services, Contingent Workforce & Field Support""]",,,,,,,true,wavsys,,,,,40.710575,-73.965102,"101 Broadway, Suite 406, Brooklyn, NY 11249",true,TIGER/Line® from the US Census Bureau,
0314d45d-6da9-47f4-bd75-1c1bf9c5acac,Turner Of The Century,https://www.turnerconstruction.com,(212) 229-6000,turner@tcco.com,,wix:image://v1/f9bafe_2834dcb379604778bd42bb6e74be7f02~mv2.png/Screenshot%202025-05-19%20at%205.05.56%E2%80%AFPM.png#originWidth=180&originHeight=78,https://www.turnerconstruction.com/subcontractors,National,1902,Large,Public,Construction Management; General Contracting; Construction Consulting; Risk Management; Self-Perform Operations,Large-scale and complex projects across diverse sectors,"[""https://www.linkedin.com/company/turner-construction-company"",""https://x.com/Turner"",""https://www.facebook.com/turnerconstruction"",""https://www.instagram.com/turner_construction"",""https://www.youtube.com/user/TurnerConstructionCompany""]",4.2,,Standard construction equipmentPersonal protective equipmentMobile devices for site management,TRUE,APP – Net-15 via ACH; standard Net-30 option,Prequalification and bidding through subcontractor portal,Approximately 1500 projects annually,Prequalification; safety orientation; online portal registration; site-specific training,Turner University LMS; vendor portal access; email; computer or smartphone with internet,,NR (A+),Named one of America’s Most Reliable Companies (Newsweek Oct 2024); ENR Top Green Contractor; largest domestic contractor,Through subcontractor portal,OSHA certificationsLocal contractor licensingE&O insuranceBackground checksBonding as per prequalification,,,2025-12-11 20:47:00.522071+00,2026-01-11 19:32:18.775889+00,"[""Construction Monitoring""]",,,,4.2,,,false,turner-of-the-century,,,,,40.755355,-74.000065,"66 Hudson Boulevard East, New York, NY 10001",true,City of New York,
03e08f31-c635-498a-8883-5e19e467dcfb,Credible Home Inspections,http://www.crediblehomeinspections.com,216-410-1035,,Interior and Exterior property inspectionsphoto documentationsecuring of property to minimize safety hazardsand administrative reporting.,https://crediblehomeinspections.com/wp-content/uploads/2019/09/chi.jpg,https://crediblehomeinspections.com/work-with-us,,,,,,,"[""https://www.facebook.com/mstrategy"", ""https://www.linkedin.com/company/manhattan-strategy-group/mycompany/"", ""https://twitter.com/mstrategy"", ""https://www.instagram.com/manhattanstrategy/"", ""https://www.youtube.com/user/manhattanstrategy""]",,,,,,,,,,,,,,,,,,2026-01-11 19:32:18.775889+00,"[""Field Services""]",,,,,,,true,credible-home-inspections,,,,,41.387203,-81.304222,"Chagrin Falls, OH 44023",true,TIGER/Line® dataset from the US Census Bureau,
03e58f3f-dce2-4006-8ada-57a0e139020e,Alacrity Solutions,https://www.alacritysolutions.com/,(800) 968-4456,ResourceManagement@alacritysolutions.com,,https://www.alacritysolutions.com/wp-content/uploads/2025/01/Alacrity-Website-Header-Logo-1.svg,https://www.alacritysolutions.com/solutions/network-solutions/join-our-contractor-network/,National,1976,Large,Private,Insurance,Comprehensive suite of services for the P&C insurance industry,"[""https://www.linkedin.com/company/alacrity-solns""""https://twitter.com/alacritysolns""""https://www.facebook.com/AlacritySolns/""]",3.4,,Digital camera or high-quality smartphone cameraMeasuring toolsReliable vehicleComputer/laptop with internet accessSmartphone or tablet,TRUE,Bi-weekly or monthly,Assignments are dispatched through Alacrity's centralized contractor portal,High volume potential,Structured onboarding process,Mobile device with internet connectionDigital cameraClaims management softwareAlacrity's proprietary contractor portal/apps,Contractor-supplied,NR,One of the largest independent providers of insurance claims management services in North America.,ResourceManagement@alacritysolutions.com,Property Adjuster License (appropriate state licenses) required for claims handling,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Property Preservation"",""Property Inspection"",""Field Services""]",40,15,/inspection,3.4,Field ServicesInsurance InspectionProperty Preservation,,false,alacrity-solutions,,,,,38.447553,-122.732113,"1235 North Dutton Avenue, Suite E, Santa Rosa, CA 95401",true,Sonoma (County of Sonoma Sonoma County),
042bb9c4-8ad6-48fb-bd56-7e0e973847c2,NIIS,https://www.nationalis.com,(877) 735-1117,info@nationalis.com,"National Inspection Services (NIIS) provides insurance underwriting inspections, loss control surveys, and risk assessment services for personal and commercial insurance carriers.",https://www.nationalis.com/wp-content/uploads/2018/04/national-insurance-inspection-services.png,https://www.nationalis.com/inspector-application,National,2009,Medium,Private,Insurance,Provides field data collection and reporting services to insurance carriers,"[""https://www.linkedin.com/company/national-insurance-inspection-services""""https://www.facebook.com/NationalIIS/""]",3.7,,Reliable transportationdigital camera or smartphone with high-quality camerameasuring devices (tape measuremeasuring wheel)computer/tablet with internet accessladder (for some inspections).,TRUE,monthly,Assignments are usually dispatched through an online platform or app.,Variable,Online applicationresume reviewbackground checkpotential test inspections or interviewsigning of independent contractor agreementonboarding to their reporting platform.,Proprietary web-based or app-based platform,Contractor-supplied,A+,Accredited by BBB since 2014. No complaints listed on BBB profile.,https://www.nationalis.com/inspector-application,Background check is standard.,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Property Inspection"",""Field Services""]",25,10,/inspection,3.7,Field ServicesInspectionsInsurance Inspection,,true,niis,,,,,36.837798,-119.771081,"1040 E. Herndon Ave, Suite 205, Fresno, CA 93720",true,Fresno (Fresno County),
0459ebfd-767c-462a-950c-c0dd00d59855,Restoration Services,,,,"Highly generic business name used by hundreds of local and regional property restoration contractors. No single verified national company, official website, or corporate headquarters could be confirmed under this exact name.",,,Unknown,,,Private,Property Restoration,,[],,,,,,,,,,,,,,,,,2025-12-11 20:47:00.522071+00,2026-01-11 19:32:18.775889+00,"[""Property Restoration""]",,,,,,,false,restoration-services,,,,,42.95452,-74.37652,Multiple matches found,true,TIGER/Line® dataset from the US Census Bureau,
05d49ad7-cd15-4868-9242-fd0bc88d9523,Package Research Laboratory LLC,http://www.package-testing.com,(973) 627-4405,,PRL is the largest ISPM 15 / IPPC inspecting agency in the United States. We conduct heat treatment and fumigation inspections of wood processing companies under ALSC and WPM regulations. Our knowledgeable staff is always ready to help you with your questions of localnational and international package phytosanitary regulations. On this site you will find answers to many of your ISPM 15 issuesbut feel free to contact us if you require further information.,http://www.package-testing.com/images/PRL-ISPM15-Stamp.jpg,,,,,,,,[],,,,,,,,,,,,,,,,,,2026-01-11 19:32:18.775889+00,"[""Field Services""]",,,,,,,true,package-research-laboratory-llc,,,,,40.905594,-74.504037,"21 Pine Street, Suite 105, Rockaway, NJ 07866",true,Morris,
05ede11a-cd06-435c-80c5-abd24038161d,GIS Field Services,https://gisfieldservices.com,(972) 497-2058,recruiting@gisfieldservices.com,,https://gis.applicantstack.com/userdata/gis/GIS_Logo_full-color_4color.png,https://gis.applicantstack.com/x/openings,National,2007,Medium,Private Company (LLC),Insurance (Underwriting SurveysLoss Control InspectionsClaims Support)Mortgage Field Services (Property Condition ReportsOccupancy Verifications)Commercial Property AssessmentsBanking & Finance (Merchant Site InspectionsCollateral Inspections).,National provider of field inspection services for the insurancemortgageand commercial real estate/finance industries. Focuses on delivering accurate and timely underwriting supportrisk assessment datasite verificationsand property condition information through its extensive network of independent field contractors and proprietary technology platform (GIS Connect).,"[""https://www.linkedin.com/company/gis-field-services""""https://x.com/GISInspections""""https://www.facebook.com/GISfieldservices""""https://www.instagram.com/gisfieldservices""]",3.2,,Reliable transportation (often requiring travel within an assigned territory)”Smartphone or tablet (iOS or Android) with a high-quality camera (minimum 8MP often recommended) and GPS capabilities (for geo-tagging photos and using the GIS Connect mobile app)”Reliable internet access (for receiving assignments and uploading reportsoften from the field)”Computer or laptop for report reviewsubmissionand communication if not solely mobile-based”Measuring devices (e.g.tape measuremeasuring wheellaser measure as appropriate for specific inspection typesespecially for property diagrams or replacement cost details)”Ladder (may be required for some exterior inspectionsparticularly roof condition assessmentsdepending on client scope).”,TRUE,monthly or bi-weekly,Assignments are dispatched to registered and approved field inspectors through GIS Field Services' proprietary online platform (GIS Connect). Inspectors are typically assigned work or can claim available work orders within their designated service territories based on their availabilityproximity to the inspection sitequalifications (experiencecertifications relevant to the inspection type)performance metrics (qualitytimelinessaccuracy)and current capacity.,Variable; depends significantly on client demand (from insurance carriersfinancial institutionsand other businesses utilizing inspection services) in the inspector's specific geographic area. Can provide a consistent source of supplemental income or a more regular part-time workload in busy regions. High-performing inspectors with a broad skill set and coverage in densely populated areas may achieve near full-time equivalent volumethough this is not guaranteed.,Online application process initiated via their careers page (gisfieldservices.com/careers/)which often links to an ApplicantStack portal for managing applications. Process typically involves submission of a resumedefinition of service coverage area (by zip codes or counties)summary of relevant experience and certificationsauthorization for a background checkW9 formand signing an independent contractor agreement. Onboarding includes training on the GIS Connect platform and review of inspection standards and client guidelines.,Proprietary web-based platform (GIS Connect) and/or a dedicated mobile application for receiving assignmentsaccessing detailed client-specific guidelines and data collection formscapturing high-resolution photos (with geo-tagging and timestamp capabilities)creating diagrams (if required for specific reports)and submitting completed inspection reports directly from the field or via desktop upload.,Contractor-supplied,GIS Field ServicesLLC is NR but has a BBB rating of A (as of May 2024for their DallasTX location). It's advisable to check the BBB website for the most current information as ratings and accreditation can change.,Well-established national provider of field inspection servicesknown for its broad range of offerings across the insurancemortgageand financial services sectors. Emphasizes its proprietary technology platform (GIS Connect) and a largenationwide network of independent field contractors.,Apply via the careers page on their website: https://gisfieldservices.com/careers/ or directly through their ApplicantStack portal if a link is currently available for open field inspector positions.,Background check required (typically conducted annually for active inspectors).” No specific state licenses are generally required for most underwriting and property inspection types (non-claims)but relevant certifications (e.g.InterNACHI or ASHI for home inspectionsHAAG Certified Roof Inspectorvarious insurance or safety certifications like CPCUARMor OSHA training) are advantageous and may be required for specialized or higher-value assignments.” Strong observational skillsmeticulous attention to detailability to accurately follow complex checklists and guidelinesand proficient report writing skills are essential.” Proficiency with mobile reporting applications and ability to consistently meet deadlines (often 24-72 hour turnaround times from assignment).”,,,2025-11-10 19:19:18.896292+00,2026-01-11 19:32:18.775889+00,"[""Property Inspection"",""Field Services""]",300,20,/inspection,3.2,Field ServicesInspectionsInsurance Inspection,,false,gis-field-services,,,,,32.839871,-96.774837,"6060 N. Central Expressway, Suite 500, Dallas, TX 75206",true,City of Dallas,
0763b772-6acf-4c4a-bb87-3f6e45cb78ad,Spotless Chimney Sweeping & Solutions,https://spotlesschimney.com,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,2025-12-11 20:47:00.522071+00,2026-01-11 19:32:18.775889+00,"[""Field Services""]",,,,,,,false,spotless-chimney-sweeping-solutions,,,,,41.641022,-72.725425,"124 White Oak Dr, Berlin, CT 06037",true,Berlin,
