"In mortgage field services, what is the inspector's primary responsibility regarding winterization?","The inspector must verify that the winterization service complies with HUD, FHA, and investor guidelines, not perform the service itself."
What is the primary purpose of verifying winterization for REO and vacant properties?,To prevent burst pipes and subsequent structural damage to the property.
"When an inspector's report is rejected, what is the first step in the professional appeal process?",The inspector first verifies the original work order instructions to determine if the rejection was erroneous.
"According to the ADA Title III regulations, the definition of disability includes having a physical or mental impairment that substantially limits one or more major life activities, having a record of such an impairment, or being _____ as having such an impairment.",regarded
"Under the ADA, is a public accommodation required to provide a reasonable modification to an individual who meets the definition of 'disability' solely under the 'regarded as' prong?","No, a public accommodation is not required to provide a reasonable modification in this specific case."
What must a public accommodation do to determine if an individual poses a direct threat to the health or safety of others?,It must make an individualized assessment based on reasonable judgment that relies on current medical knowledge or the best available objective evidence.
What does § 36.211 of the ADA require a public accommodation to do regarding accessible features?,A public accommodation must maintain in operable working condition those features of facilities and equipment that are required to be accessible.
What is the general obligation of a public accommodation regarding auxiliary aids and services under § 36.303 of the ADA?,"To take necessary steps to ensure individuals with disabilities are not denied services due to the absence of auxiliary aids, unless it would cause an undue burden or fundamentally alter the service."
"The ADA Title III regulations define what term as a private entity that owns, leases, leases to, or operates a place of public accommodation?",Public accommodation
What does the 'safe harbor' provision in the 2010 ADA Standards state about elements that complied with the 1991 Standards?,Elements that were fully compliant with the 1991 Standards do not need to be modified to meet the 2010 Standards unless those elements are altered.
"What type of animal is specifically trained to do work or perform tasks for the benefit of an individual with a disability, according to the ADA?",A service animal.
"Are animals whose sole function is to provide emotional support, well-being, comfort, or companionship considered service animals under the ADA Title III regulations?","No, the ADA regulations for public accommodations do not consider emotional support animals to be service animals."
"According to the ADA, who is responsible for providing a qualified interpreter when a public accommodation is interacting with a person with a disability?",It is the public accommodation’s responsibility to provide an interpreter to ensure effective communication.
What are the four primary methods of land legal description used in Colorado?,"United States Governmental Survey System, metes and bounds, lot and block system, and the Colorado Coordinate System."
"In land surveying, how many minutes are in one degree, and how many seconds are in one minute?",There are 60 minutes in a degree and 60 seconds in a minute.
"According to USDA guidelines for REO properties, boarding should be avoided unless it is necessary to prevent what?",Vandalism to the property.
"Under USDA guidelines, emergency repairs on a custodial property exceeding what dollar amount require Agency concurrence?","$2,000.00"
How frequently must interior and exterior inspections be performed on a USDA REO property once custody is obtained?,Monthly.
What is the USDA guideline for snow removal at a custodial property?,"Snow should be removed from the entry, walkway, porch, and driveway following a minimum three-inch accumulation."
What is the minimum marketing period for a USDA REO property before any offers can be accepted?,Ten days.
"According to CREIA, what is the first step you should take if you fail to understand items in a written inspection report?",Call the inspector and ask them to thoroughly explain the condition in question.
"If you get a conflicting opinion from a contractor about a defect noted in an inspector's report, what does CREIA suggest you do?",Call the inspector for further explanation and suggest the inspector speak directly to the contractor.
"In a dispute with a real estate inspector, CREIA can help locate recognized _____ who can testify as to the standards of practice.",expert witnesses
"In the Fannie Mae Independent Dispute Resolution (IDR) process, what is the timeframe for an eligible lender to initiate the process after the management escalation period ends?",Within 15 days.
"In the 'Fundamentals of Caregiving,' what are approved annual trainings that keep a Home Care Aide’s skills and knowledge current called?",Continuing Education (CE).
"In person-centered care, what is the difference between what is 'Important TO' and 'Important FOR' a person?","'Important TO' includes things a person values that bring happiness and fulfillment, while 'Important FOR' includes things needed to maintain health and safety."
"What is the term for unconscious, biased feelings that can affect our actions, attitudes, and decisions without our awareness?",Implicit bias.
What is one strategy recommended for overcoming implicit bias?,To challenge and dispute stereotypes by spending time thinking about people who break them.
What are the four steps of effective problem-solving for caregivers?,"1. Define the problem. 2. Brainstorm possible solutions. 3. Pick a solution, make a plan, and do it. 4. Evaluate the results."
"In caregiving, what is the term for a client’s usual condition and level of ability (physical, emotional, mental, behavioral, and social)?",Baseline.
